1,Leap Coffee,2501 El Camino Real,Carlsbad,CA,92008,(760) 230-9538,33.179289,-117.329188
2,MiraCosta Cafe,1 Barnard Drive,Oceanside,CA,92056,(760) 795-6886,33.191551,-117.303615
3,Starbucks,3702 Plaza Dr A,Oceanside,CA,92056,(760) 631-8213,33.182625, -117.294886
4,TNL Boba Tea,3829 Plaza Dr,Oceanside,CA,92056,(760) 630-4136,33.182352,-117.290917
5,Vending Machine MCC,1 Barnard Drive,Oceanside,CA,92056,N/A,33.190979,-117.302266
6,The Coffee Bean and Tea Leaf,2508 El Camino Real,Carlsbad,CA,92008,(760) 720-1381,33.180752,-117.324981
